AntClassLoader5Test,Name,FALSE,2,0,1,12,0.18,3825.72,2,0,7,2,0,136.75,7,18,0,1,116.13,0,0.5,0,0,2,1,552.99,4,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,2,121,0,12,0.05,1.42,48,0.41,9135.07,19,7,5,12,6,126.01,48,67,0,1,125.77,0,0,0.19,2,68,4,1228.57,0,7,6,java.lang.Object,0,0,0,17,0,0,5,1,10,287,0
AntClassLoaderDelegationTest,Tokenizer,FALSE,5,0.17,1,34,0.53,11441.59,8,3,12,6,0,136.13,17,51,0,1,115.52,0,0.5,0.47,1,2,1,1585.82,3,1,0,junit.framework.TestCase,0,1,1,5,0,1,4,0,11,306,0,2,0,1,3,0.04,308.28,2,0,2,2,5,121.55,12,4,5,1,153.77,0,0,0,0,2,1,109.55,0,2,0,,0,0,0,2,0,0,0,0,6,32,0
AntClassLoaderTest,Jdk14RegexpMatcher,FALSE,7,0,1.86,70,0.85,24693.98,9,2,3,7,0,57.51,58,91,0,1,105.62,0,0.5,0.5,0,0,6,2536.53,7,0,0,BuildFileTest,0,0,1,13,0,0,7,0,11,503,0,9,0.88,1.89,47,0.46,14290.43,10,1,5,9,5,77.28,63,67,2,1,119.58,1,0,0.22,4,36,4,1380.23,0,7,3,java.lang.Object,0,0,0,17,1,0,2,1,12,304,0
AsiExtraFieldTest,PlainJUnitResultFormatter,FALSE,5,0,1.6,82,1.49,79244.78,5,0,1,5,0,113.52,15,110,0,1,92.9,0,0.5,0,0,5,3,4460.34,4,0,0,junit.framework.TestCase,0,0,1,8,0,0,5,1,30,775,0,12,0.09,2,90,1.23,52769.33,21,9,11,14,6,92.75,71,132,0,1,110.63,0,0,0.19,3,48,6,3689.31,0,0,6,java.lang.Object,0,2,0,24,0,2,12,1,15,707,0
BaseSelectorTest,Service,FALSE,16,0.03,1.62,98,1.03,32943.64,27,11,5,18,9,97.89,83,127,9,1,115.77,9,0.09,0.12,5,106,3,3100.07,2,8,0,junit.framework.TestCase,0,2,1,26,9,2,8,0,14,660,0,6,0,1.67,35,0.32,6233.99,8,2,11,7,4,103.18,34,51,1,1,121.05,0,0.5,0.5,0,0,4,954.43,1,2,3,org.apache.tools.ant.ProjectComponent,0,1,1,10,0,1,4,0,7,217,0
ChangeLogParserTest,Condition,FALSE,2,0,1,28,0.42,7983.55,3,1,5,3,0,149.89,3,31,0,1,99.89,0,0.5,1,0,0,1,1266.72,1,0,0,junit.framework.TestCase,0,1,1,2,0,1,2,0,1,235,0,1,0,1,2,0.01,72.32,1,0,1,1,38,127.26,5,3,37,1,145.13,0,0,0,0,1,1,30.53,0,1,1,,0,0,0,1,0,0,0,0,2,11,0
ClasspathUtilsTest,AntTypeDefinition,FALSE,3,0.5,1.67,19,0.19,4837.04,4,1,6,3,0,166.6,4,28,0,1,116.6,0,0.5,0.67,0,1,3,576.52,1,0,0,junit.framework.TestCase,0,0,1,5,0,0,3,0,1,119,0,22,0.02,2.09,113,1.53,54237.08,29,7,2,22,16,85.83,141,199,12,1,118.05,2,0,0.16,10,186,7,4592.65,1,14,4,java.lang.Object,0,0,0,46,2,0,8,0,30,972,0
CollectionUtilsTest,DummyTaskWithoutPublicConstructor,FALSE,3,0,1,63,0.82,67963.85,3,0,5,3,0,137.38,4,67,0,1,87.38,0,0.5,0,0,3,1,2454.11,1,0,0,junit.framework.TestCase,0,0,1,3,0,0,3,0,1,524,0,2,0,1,3,0.01,30.17,2,0,1,2,1,161.72,0,6,0,2,161.72,0,0.67,0,0,2,1,24.36,0,0,1,org.apache.tools.ant.Task,0.05,0,2,2,0,0,2,0,0,12,0
CommandlineJavaTest,Appendable,FALSE,7,0.08,1.86,105,1.32,49058.17,9,2,3,7,0,136.59,20,121,0,1,96.7,0,0.5,0.43,0,4,4,3958.9,5,0,0,junit.framework.TestCase,0,0,1,13,0,0,7,0,10,743,0,1,0,1,2,0.01,72.32,1,0,2,1,5,127.26,5,3,5,1,145.13,0,0,0,0,1,1,30.53,0,1,0,,0,0,0,1,0,0,0,0,2,11,0
CommandlineTest,CBZip2InputStream,FALSE,7,0,1.43,108,1.55,86311.25,7,0,2,7,0,144.83,10,120,0,1,94.83,0,0.5,0,0,7,4,4657.36,3,0,0,junit.framework.TestCase,0,0,1,10,0,0,7,0,7,821,0,27,0.12,4.56,581,7.49,944239.33,60,33,3,28,6,106.16,85,679,4,1,85.55,0,0.5,0.14,23,74,24,22472.74,0,8,2,java.io.InputStream,0,1,1,123,0,1,19,1,32,3926,0
ContainsSelectorTest,AntAnalyzer,FALSE,4,1,1.5,29,0.28,6625.31,5,1,3,4,1,93.89,56,38,0,2,114.03,0,0.67,0,1,6,3,825.56,3,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,6,0,0,3,0,5,176,0,3,0,5.33,71,0.98,107676.8,3,0,11,3,4,35.84,26,82,1,1,83.95,0,0.5,0,0,4,14,2954.08,3,1,3,org.apache.tools.ant.util.depend.AbstractAnalyzer,0.05,0,1,16,0,0,2,0,9,466,0
ContainsTest,AbstractClasspathResource,FALSE,2,0,1,10,0.08,1379.58,2,0,1,2,0,162.46,4,13,0,1,122.57,0,0.5,0,0,2,1,232.49,1,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,1,59,0,13,0.08,2.23,79,0.83,25086.04,16,3,10,13,9,98.04,71,118,3,3,115.92,0.67,0.5,0.26,6,49,6,2498.15,11,7,6,org.apache.tools.ant.types.Resource,0.08,0,3,29,2,0,6,0,13,542,0
DateSelectorTest,Or,FALSE,4,1,2.5,69,0.89,41846.46,5,1,6,4,1,143.23,103,98,0,2,93.24,0,0.67,0,1,6,7,2683.63,3,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,10,0,0,3,0,5,479,0,1,0,3,8,0.07,1381.53,1,0,2,1,3,74.77,12,12,1,2,112.33,0,0.67,0,0,1,3,207.27,1,1,3,org.apache.tools.ant.taskdefs.condition.ConditionBase,0,0,2,3,0,0,0,1,2,49,0
DateUtilsTest,FixCRLF,FALSE,8,0,1,44,0.55,7981.58,8,0,3,8,0,171.31,9,59,0,1,121.31,0,0.5,0,0,8,1,1660.53,1,0,0,junit.framework.TestCase,0,0,1,8,0,0,8,0,6,361,0,17,0.05,2.06,105,1.42,59022.62,28,11,18,19,9,63.93,156,231,0,3,113.93,0,0.75,0.13,3,26,9,4259.83,3,1,9,org.apache.tools.ant.taskdefs.MatchingTask,0.03,2,3,35,0,2,16,1,24,840,0
DefaultLoggerTest,IsReference,FALSE,3,0,1,21,0.34,11800.51,3,0,3,3,0,68.88,22,24,0,1,111.17,0,0.5,0,1,3,1,1034.15,1,1,0,junit.framework.TestCase,0,0,1,3,0,0,2,0,9,213,0,3,0,2.67,22,0.25,9047.76,5,2,3,3,5,69.56,23,34,1,1,111.85,0,0.5,0.5,0,1,6,751.01,1,1,4,org.apache.tools.ant.ProjectComponent,0,0,1,8,0,0,2,1,5,154,0
DependSelectorTest,Javac13,FALSE,4,1,1.5,93,1.06,54481.72,5,1,4,4,1,108.17,15,110,0,2,87.56,0,0.67,0,1,8,3,3178.32,9,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,6,0,0,3,0,5,563,0,1,0,3,14,0.23,8155.75,2,1,4,1,5,96.72,16,24,1,1,97.19,0,0.5,1,0,0,3,695.48,1,1,4,org.apache.tools.ant.taskdefs.compilers.DefaultCompilerAdapter,0,0,1,3,0,0,0,0,3,126,0
DepthSelectorTest,Move,FALSE,4,1,2.25,78,0.88,42504.27,5,1,3,4,1,112.02,14,101,0,2,91.41,0,0.67,0,1,6,6,2651.97,5,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,9,0,0,3,0,4,492,0,9,0,5.44,163,2.61,195817.57,9,0,9,9,8,39.63,84,218,1,3,89.63,0,0.75,0,5,16,19,7836.1,13,2,7,org.apache.tools.ant.taskdefs.Copy,0.06,0,3,49,0,0,7,0,25,1304,0
DirectoryScannerTest,IPlanetEjbc,FALSE,32,0.94,1.56,309,4.65,161499.21,33,1,10,33,0,106.14,31,438,0,1,106.14,0,0.5,0.09,1,110,11,13951.33,6,0,0,BuildFileTest,0,1,1,50,0,1,32,0,20,2681,0,16,0.03,3.38,221,2.73,137300.08,35,19,21,18,3,60.63,193,272,3,1,98.19,0,0,0.08,6,152,13,8194.24,0,5,0,java.lang.Object,0,2,0,54,0,2,11,0,37,1501,0
DirSetTest,Ellipse,FALSE,4,0,1.5,48,0.62,23971.12,4,0,3,4,0,150.9,4,59,0,1,100.9,0,0.5,0,1,4,3,1853.21,3,1,0,AbstractFileSetTest,0,0,1,6,0,0,3,0,1,360,0,3,0.25,2.67,31,0.46,22977.11,5,2,5,3,6,85.01,15,37,1,4,102.89,0,0.8,0.33,0,4,6,1372.66,0,1,5,org.apache.tools.ant.types.optional.image.BasicShape,0,0,4,8,0,0,2,1,5,253,0
DOMElementWriterTest,FileResource,FALSE,14,0.77,1,135,2.15,47484.44,15,1,5,15,0,107.6,5,202,0,1,107.6,0,0.5,0.29,0,38,1,6454.03,2,0,0,junit.framework.TestCase,0,1,1,14,0,1,14,0,2,1262,0,27,0.14,1.89,125,1.29,31074.02,31,4,12,30,53,124.53,126,190,46,3,124.29,0,0.75,0.11,7,217,7,3870.02,10,18,9,org.apache.tools.ant.types.Resource,0.34,3,3,51,0,3,9,1,27,898,0
EchoPropertiesTest,ExtendFileSelector,FALSE,27,0.11,1.26,98,0.84,15417.81,33,6,10,27,0,181.44,28,147,0,1,131.44,0,0.5,0.06,4,142,4,2518.47,12,3,0,org.apache.tools.ant.BuildFileTest,0,0,1,34,0,0,24,0,5,595,0,0,0,0,1,0,11.61,0,0,1,0,4,171,2,2,2,2,171,0,0.67,0,0,0,0,11.61,0,0,2,,0,0,2,0,0,0,0,0,2,5,0
EmailAddressTest,ScriptFilter,FALSE,18,0,1,39,0.29,2614.12,18,0,1,18,0,142.75,5,59,0,1,142.75,0,0.5,0,3,18,1,878.9,2,0,0,junit.framework.TestCase,0,0,1,18,0,0,18,0,3,253,0,13,0,1.08,36,0.25,2854.24,16,3,8,14,7,109.09,88,51,0,1,141.31,0,0.5,0.33,3,0,2,745.97,1,3,7,TokenFilter.ChainableReaderFilter,0,1,1,14,0,1,10,0,14,209,0
EnumeratedAttributeTest,Javadoc,FALSE,4,0.67,2.75,36,0.42,14761.39,5,1,2,4,0,157.08,4,50,0,1,107.08,0,0.5,0.5,0,4,6,1265.52,3,0,0,junit.framework.TestCase,0,0,1,11,0,0,4,0,2,261,0,105,0,2.17,709,9.35,469079,141,36,34,110,21,95.18,581,1027,1,2,113.05,0,0.67,0.02,34,5806,15,28043.61,4,13,20,org.apache.tools.ant.Task,0.01,5,2,228,0,5,92,0,140,5235,0
EqualsTest,CRC,FALSE,3,0,1,19,0.16,3417.61,3,0,1,3,0,167.9,4,23,0,1,117.9,0,0.5,0,0,3,1,487.24,1,0,0,junit.framework.TestCase,0,0,1,3,0,0,3,0,1,117,0,7,0.08,1.29,24,0.92,11569.97,9,2,0,7,3,127.8,5,101,3,1,127.8,0,0,0.57,1,0,2,2753.44,0,2,0,java.lang.Object,0,0,0,9,0,0,5,0,1,410,0
ExecutorTest,ProcessDestroyer,FALSE,21,0.05,1.29,77,0.65,7706.57,25,4,1,21,0,132.95,6,107,0,1,132.95,0,0.5,0.3,1,18,2,1949.04,4,3,0,BuildFileTest,0,0,1,27,0,0,18,1,4,468,0,7,0.21,3.29,64,0.74,22490.75,14,7,4,8,2,57.52,67,102,2,1,107.52,0,0,0.33,2,2,8,2214.5,0,3,0,java.lang.Object,0,1,0,23,0,1,4,1,24,442,0
ExtraFieldUtilsTest,KeySubst,FALSE,7,0.33,1.86,112,2.02,107212.21,11,4,2,7,0,142.98,10,142,0,1,92.98,0,0.5,0.54,0,0,3,6065.94,3,0,0,junit.framework.TestCase,0,0,1,13,0,0,7,1,3,1109,0,7,0.04,2.29,69,0.88,41441.87,11,4,11,8,4,63.22,53,96,1,2,105.51,0,0.67,0.21,0,14,5,2637.84,1,1,3,org.apache.tools.ant.Task,0.04,1,2,16,0,1,6,0,10,509,0
FacadeTaskHelperTest,AntStructure,FALSE,3,0,1,27,0.26,8966.31,3,0,1,3,0,158.04,3,31,0,1,108.04,0,0.5,0,0,3,1,794.67,2,0,0,junit.framework.TestCase,0,0,1,3,0,0,3,0,1,187,0,5,0.17,2.4,36,0.58,28821.42,8,3,18,7,7,59.66,48,62,0,2,109.66,0,0.67,0.2,0,7,8,1751.83,2,2,7,org.apache.tools.ant.Task,0.05,2,2,12,0,2,3,0,7,322,0
FileListTest,ChangeLogTask,FALSE,7,0,2.14,74,0.86,40823.28,7,0,3,7,0,103.87,6,106,0,1,103.87,0,0.5,0,0,7,5,2584.87,5,0,0,org.apache.tools.ant.BuildFileTest,0,0,1,15,0,0,7,0,4,512,0,17,0.04,2.53,157,2.08,113620.61,27,10,18,18,12,55.07,168,211,0,3,105.07,0,0.75,0.14,6,111,11,6249.53,14,1,12,org.apache.tools.ant.taskdefs.AbstractCvsTask,0.03,1,3,43,0,1,16,0,44,1109,0
FilenameSelectorTest,TailFilter,FALSE,4,1,1.5,53,0.54,18448.19,5,1,3,4,1,82.63,20,65,0,2,100.5,0,0.67,0,1,6,3,1611.83,5,1,1,org.apache.tools.ant.types.selectors.BaseSelectorTest,0.1,0,2,6,0,0,3,0,10,315,0,10,0.03,2.8,83,0.81,39874.47,20,10,5,11,6,60.62,89,108,2,3,108.72,0,0.75,0.13,5,38,11,2428.8,3,5,4,org.apache.tools.ant.filters.BaseParamFilterReader,0,1,3,28,0,1,5,1,11,501,0
FileUtilsTest,SSHUserInfo,FALSE,20,0.02,2.45,262,5.49,425214.27,23,3,6,21,0,62.94,122,422,0,1,95.16,0,0.5,0.32,3,0,9,16474.24,4,2,0,junit.framework.TestCase,0,1,1,49,0,1,18,0,48,2993,0,20,0.11,1.05,52,0.36,6294.64,25,5,2,20,1,140.32,93,78,1,1,140.09,0,0,0.1,0,168,2,1071.42,0,12,0,java.lang.Object,0,0,0,21,0,0,8,1,23,291,0
GlobPatternMapperTest,SortFilter,FALSE,5,0,1,53,0.6,13530.81,5,0,1,5,0,156.67,8,59,0,1,106.67,0,0.5,0,0,5,1,1811.44,3,0,0,junit.framework.TestCase,0,0,1,5,0,0,5,0,5,364,0,11,0.01,2.73,84,0.94,41148.08,18,7,9,11,5,129.24,198,120,1,3,111.11,0,0.75,0.13,7,44,10,2833.88,4,4,4,org.apache.tools.ant.filters.BaseParamFilterReader,0,0,3,30,0,0,7,1,16,563,0
ImmutableTest,MapperResult,FALSE,9,0,1,28,0.2,1680.14,9,0,1,9,0,185.32,9,38,0,1,135.32,0,0.5,0,0,9,1,608.33,4,0,0,org.apache.tools.ant.BuildFileTest,0,0,1,9,0,0,9,0,8,165,0,6,0.04,2.33,40,0.39,16078.57,11,5,4,6,4,164.78,9,60,0,2,114.78,0,0.67,0.17,1,10,8,1180.1,0,0,4,org.apache.tools.ant.Task,0.04,0,2,14,0,0,6,0,1,246,0
ImplementationSpecificArgumentTest,FilenameSelector,FALSE,2,0,1,25,0.24,10394.78,2,0,1,2,0,151.48,3,29,0,1,101.48,0,0.5,0,0,2,1,725.45,2,0,0,junit.framework.TestCase,0,0,1,2,0,0,2,0,1,157,0,9,0.11,2.56,68,0.76,23087.99,19,10,5,9,12,70.12,66,90,6,4,112.41,0,0.8,0.2,4,20,7,2289.11,4,2,6,org.apache.tools.ant.types.selectors.BaseExtendSelector,0.16,0,4,23,0,0,7,0,10,476,0
IntrospectionHelperTest,ClassFileUtils,FALSE,60,0.21,1.83,378,5.11,210773.21,63,3,13,60,0,113.91,32,537,0,1,113.91,0,0.5,0.13,7,606,21,15340.92,5,11,0,junit.framework.TestCase,0,0,1,110,0,0,49,0,23,2936,0,2,0,1,5,0.05,717.05,2,0,0,2,2,95.53,22,8,2,1,139.65,0,0,0,0,2,1,141.16,0,2,0,java.lang.Object,0,0,0,2,0,0,0,0,4,39,0
JavaEnvUtilsTest,DynamicAttributeNS,FALSE,5,0.75,2.6,52,0.89,38829.37,6,1,4,6,0,152.84,7,89,0,1,102.84,0,0.5,0.4,0,7,5,2659.39,3,0,0,junit.framework.TestCase,0,1,1,13,0,1,5,0,4,497,0,1,0,1,2,0.02,216.75,1,0,0,1,3,92.9,10,5,2,1,141.38,0,0,0,0,1,1,66.73,0,0,1,,0,0,0,1,0,0,1,0,2,19,0
JavaResourceTest,JikesOutputParser,FALSE,5,0,1,16,0.13,1515.07,5,0,1,5,0,133.66,2,23,0,1,133.66,0,0.5,0,0,5,1,376.53,6,0,0,org.apache.tools.ant.BuildFileTest,0,0,1,5,0,0,5,0,2,102,0,12,0.03,1.67,52,0.47,9613.36,19,7,7,12,4,107.69,62,76,1,1,125.56,0,0,0.12,5,58,6,1404.98,0,1,3,java.lang.Object,0,0,0,20,0,0,11,1,24,328,0
JAXPUtilsTest,Filter,FALSE,2,0,1.5,11,0.11,2636.91,2,0,2,2,0,170.26,3,16,0,1,120.26,0,0.5,0,0,2,2,342.23,1,0,0,junit.framework.TestCase,0,0,1,3,0,0,2,0,1,76,0,5,0.08,1.6,22,0.23,6700.16,8,3,4,5,3,91.59,31,35,0,2,123.81,0,0.67,0.27,1,7,4,685.03,3,0,3,org.apache.tools.ant.Task,0.05,0,2,8,0,0,5,0,6,157,0
